state,capital,lat,long,vote.2012,electoral.votes
Alabama,Montgomery,32.361538,-86.279118,Romney,9 
Alaska,Juneau,58.301935,-134.419740,Romney,3
Arizona,Phoenix,33.448457,-112.073844,Romney,11
Arkansas,Little Rock,34.736009,-92.331122,Romney,6
California,Sacramento,38.555605,-121.468926,Obama,55
Colorado,Denver,39.7391667,-104.984167,Obama,9
Connecticut,Hartford,41.767,-72.677,Obama,7
Delaware,Dover,39.161921,-75.526755,Obama,3
District of Columbia,Washington,38.895111,-77.036667,Obama,3
Florida,Tallahassee,30.4518,-84.27277,Obama,29
Georgia,Atlanta,33.76,-84.39,Romney,16
Hawaii,Honolulu,21.30895,-157.826182,Obama,4
Idaho,Boise,43.613739,-116.237651,Romney,4
Illinois,Springfield,39.783250,-89.650373,Obama,20
Indiana,Indianapolis,39.790942,-86.147685,Romney,11
Iowa,Des Moines,41.590939,-93.620866,Obama,6
Kansas,Topeka,39.04,-95.69,Romney,6
Kentucky,Frankfort,38.197274,-84.86311,Romney,11
Louisiana,Baton Rouge,30.45809,-91.140229,Romney,8
Maine,Augusta,44.323535,-69.765261,Obama,4
Maryland,Annapolis,38.972945,-76.501157,Obama,10
Massachusetts,Boston,42.2352,-71.0275,Obama,11
Michigan,Lansing,42.7335,-84.5467,Obama,10
Minnesota,Saint Paul,44.95,-93.094,Obama,10
Mississippi,Jackson,32.320,-90.207,Romney,6
Missouri,Jefferson City,38.572954,-92.189283,Romney,10
Montana,Helena,46.595805,-112.027031,Romney,3
Nebraska,Lincoln,40.809868,-96.675345,Romney,5
Nevada,Carson City,39.160949,-119.753877,Obama,6
New Hampshire,Concord,43.220093,-71.549127,Obama,4
New Jersey,Trenton,40.221741,-74.756138,Obama,14
New Mexico,Santa Fe,35.667231,-105.964575,Obama,5
New York,Albany,42.659829,-73.781339,Obama,29
North Carolina,Raleigh,35.771,-78.638,Romney,15
North Dakota,Bismarck,46.813343,-100.779004,Romney,3
Ohio,Columbus,39.962245,-83.000647,Obama,18
Oklahoma,Oklahoma City,35.482309,-97.534994,Romney,7
Oregon,Salem,44.931109,-123.029159,Obama,7
Pennsylvania,Harrisburg,40.269789,-76.875613,Obama,20
Rhode Island,Providence,41.82355,-71.422132,Obama,4
South Carolina,Columbia,34.000,-81.035,Romney,9
South Dakota,Pierre,44.367966,-100.336378,Romney,3
Tennessee,Nashville,36.165,-86.784,Romney,11
Texas,Austin,30.266667,-97.75,Romney,38
Utah,Salt Lake City,40.7547,-111.892622,Romney,6
Vermont,Montpelier,44.26639,-72.57194,Obama,3
Virginia,Richmond,37.54,-77.46,Obama,13
Washington,Olympia,47.042418,-122.893077,Obama,12
West Virginia,Charleston,38.349497,-81.633294,Romney,5
Wisconsin,Madison,43.074722,-89.384444,Obama,10
Wyoming,Cheyenne,41.145548,-104.802042,Romney,3
